Feature,Importance
Experimental_index,0.5302795791659426
T=1.0,0.5302795791659426
T=0.5,0.5302795791659426
T=0.25,0.5302795791659426
DLC,0.45284174253019294
SA-V,0.4093927299908595
Drug_Polymer_MW_Ratio,0.3010571450895485
Initial D/M ratio,0.2773026715099962
Drug_Tm,0.22047729420618722
Polymer_MW,0.22015346056087304
Drug_Pka,0.21930763363609507
Normalized_MW,0.21889492788419873
Drug_Mw,0.21670648045336804
Drug_TPSA,0.21590014898751453
Drug_LogP,0.20360532333110792
Time,0.1313166799611729
Drug_NHA,0.11486373156889651
CL Ratio,0.08146259544886503
SE,0.06116840760450959
LA/GA,0.045906449807588734
Release,0.03769528404692779
LA_GA_Ratio,0.036154477012831476
